Variable,hhid,personid,respondent,cohort,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1k,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn5a,qn5b,qn5c,qn6a,qn6b,qn7,qn8a,qn8b,qn9,qn10a,qn10b,qn11a,qn11aa,qn12,qn13,qn18a,qn18b,qn18c,qn18d01,qn18dmnth,qn18dyear,qn18e,qn19b,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn26b,qn26d,qn26e,qn26estate,qn26f,qn26h,qn27a,qn27b01,qn27bmnth,qn27byear,qn27c,qn28a,qn28b,qn29b,qn29c,qn29c_months,Weight_person,Weight_person_pop,Weight_person_R1,Weight_person_R2,Weight_person_R3,Weight_person_R4,Weight_person_R5,Weight_person_R6,Weight_person_R7,Weight_person_R8,Weight_person_R9,Weight_person_R10,Weight_person_R11,Weight_person_R12,Weight_person_R13,Weight_person_R14,Weight_person_R15,Weight_person_R16,Weight_person_R17,Weight_person_R18,Weight_person_R19,Weight_person_R20,Weight_person_R21,Weight_person_R22,Weight_person_R23,Weight_person_pop_R1,Weight_person_pop_R2,Weight_person_pop_R3,Weight_person_pop_R4,Weight_person_pop_R5,Weight_person_pop_R6,Weight_person_pop_R7,Weight_person_pop_R8,Weight_person_pop_R9,Weight_person_pop_R10,Weight_person_pop_R11,Weight_person_pop_R12,Weight_person_pop_R13,Weight_person_pop_R14,Weight_person_pop_R15,Weight_person_pop_R16,Weight_person_pop_R17,Weight_person_pop_R18,Weight_person_pop_R19,Weight_person_pop_R20,Weight_person_pop_R21,Weight_person_pop_R22,Weight_person_pop_R23,qn30a,qn30d,qn31a,qn31d,qn31e,qn31f,qn31f_months,qn32a,qn32d,qn32e,qn33a,qn33d,qn33e,qn33f,qn33f_months,qn34a,qn34d,qn34e,qn34f,qn34f_months,qn35a,qn38a,qn38b,qn38c,ui_soi_pubassist,ui_soi,Weight_household,Weight_household_pop,Weight_household_R1,Weight_household_R2,Weight_household_R3,Weight_household_R4,Weight_household_R5,Weight_household_R6,Weight_household_R7,Weight_household_R8,Weight_household_R9,Weight_household_R10,Weight_household_R11,Weight_household_R12,Weight_household_R13,Weight_household_R14,Weight_household_R15,Weight_household_R16,Weight_household_R17,Weight_household_R18,Weight_household_R19,Weight_household_R20,Weight_household_R21,Weight_household_R22,Weight_household_R23,Weight_household_pop_R1,Weight_household_pop_R2,Weight_household_pop_R3,Weight_household_pop_R4,Weight_household_pop_R5,Weight_household_pop_R6,Weight_household_pop_R7,Weight_household_pop_R8,Weight_household_pop_R9,Weight_household_pop_R10,Weight_household_pop_R11,Weight_household_pop_R12,Weight_household_pop_R13,Weight_household_pop_R14,Weight_household_pop_R15,Weight_household_pop_R16,Weight_household_pop_R17,Weight_household_pop_R18,Weight_household_pop_R19,Weight_household_pop_R20,Weight_household_pop_R21,Weight_household_pop_R22,Weight_household_pop_R23,ui_agect_arrival,qn17_01,qn17_02,qn17_03,qn17_04,qn17_05,qn17_06,qn17_07,qn17_08,qn17_97,qn26ha_01,qn26ha_02,qn26ha_03,qn26ha_04,qn26ha_05,qn26ha_06,qn26ha_07,qn26ha_08,qn26ha_97,qn29a_01,qn29a_02,qn29a_03,qn29a_04,qn29a_05,qn29a_06,qn29a_07,qn29a_08,qn29a_09,qn29a_10,qn29a_11,qn29a_12,qn29a_97,qn29d_01,qn29d_02,qn29d_03,qn29d_04,qn29d_97,qn30b_01,qn30b_02,qn30b_03,qn30b_04,qn30b_05,qn31b_01,qn31b_02,qn31b_03,qn31b_04,qn31b_05,qn32b_01,qn32b_02,qn32b_03,qn32b_04,qn32b_05,qn33b_01,qn33b_02,qn33b_03,qn33b_04,qn33b_05,qn34b_01,qn34b_02,qn34b_03,qn34b_04,qn34b_05,ui_qn8a_annual,ui_qn10a_annual,ui_cashassist,ui_lfp,ui_emprate,ui_medicaidrma,ui_lpr,ui_school,ui_work
,6882,68821,1,3,1,4,1,1,45.00,2,97,97,39,2018,4,,7,2,1,,4,3,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,20,2,,,97,2,2,1,5,2019,,1,1,2,1,,0.13,10.33,0.13,0.13,0.14,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,,0.13,0.14,0.12,0.13,0.13,0.13,0.13,10.99,10.85,11.19,10.66,9.61,11.15,10.80,11.01,10.50,10.78,10.63,11.20,11.51,10.90,11.23,,10.51,11.16,10.04,10.35,10.62,10.20,10.24,2,1,8,,,8,,1,,,2,10,2,3,16,8,,,8,,1,1,800.00,1,1,3,0.24,18.77,0.24,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.24,0.24,,0.24,0.24,0.24,0.23,0.25,0.23,0.24,20.39,20.15,20.26,19.38,18.61,20.25,19.59,19.32,20.15,19.30,19.38,19.82,20.69,19.79,19.76,,19.84,19.48,19.53,19.06,20.11,18.64,18.68,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,2,3,1,1,0,3
,6882,68824,0,3,4,4,4,,11.00,2,97,97,39,2018,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,49.50,0.30,0.63,0.68,0.48,0.60,0.75,0.64,0.60,0.84,0.62,0.61,0.70,0.71,0.64,0.72,,0.67,0.49,0.73,0.57,0.62,0.59,0.63,24.59,50.89,55.61,39.34,49.34,61.31,52.21,48.82,68.99,50.87,49.64,57.31,57.56,52.33,58.72,,54.30,39.95,59.74,46.75,49.62,46.63,48.87,2,1,8,,,8,,1,,,2,10,2,3,16,8,,,8,,1,1,800.00,1,1,3,0.24,18.77,0.24,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.24,0.24,,0.24,0.24,0.24,0.23,0.25,0.23,0.24,20.39,20.15,20.26,19.38,18.61,20.25,19.59,19.32,20.15,19.30,19.38,19.82,20.69,19.79,19.76,,19.84,19.48,19.53,19.06,20.11,18.64,18.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,,,,,,
,6882,68823,0,3,3,4,4,4,17.00,1,97,97,39,2018,4,2,9,5,6,97,4,3,1,2,2,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,2,2,1,1,20,2,,,97,7,2,1,5,2019,,1,1,4,1,,0.19,14.64,0.18,0.19,0.20,0.19,0.16,0.20,0.19,0.18,0.19,0.19,0.19,0.20,0.21,0.20,0.19,,0.19,0.18,0.19,0.18,0.19,0.18,0.19,15.09,15.44,16.35,15.39,12.95,16.16,15.36,14.50,15.79,15.37,15.10,16.01,16.77,16.36,15.23,,15.25,14.75,15.28,14.69,14.96,14.24,14.50,2,1,8,,,8,,1,,,2,10,2,3,16,8,,,8,,1,1,800.00,1,1,3,0.24,18.77,0.24,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.24,0.24,,0.24,0.24,0.24,0.23,0.25,0.23,0.24,20.39,20.15,20.26,19.38,18.61,20.25,19.59,19.32,20.15,19.30,19.38,19.82,20.69,19.79,19.76,,19.84,19.48,19.53,19.06,20.11,18.64,18.68,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,2,3,1,1,1,3
,6882,68822,0,3,2,4,2,1,49.00,1,97,97,39,,4,2,0,1,5,97,4,4,1,1,,1,,,,,,,,,,,2,17,3,2,25,54,17035.00,8,,,1,1,1,1,,1,,,,20,2,,,15,2,2,1,11,2019,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,8,,,8,,1,,,2,10,2,3,16,8,,,8,,1,1,800.00,1,1,3,0.24,18.77,0.24,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.24,0.24,,0.24,0.24,0.24,0.23,0.25,0.23,0.24,20.39,20.15,20.26,19.38,18.61,20.25,19.59,19.32,20.15,19.30,19.38,19.82,20.69,19.79,19.76,,19.84,19.48,19.53,19.06,20.11,18.64,18.68,4,,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,1,2,1,1,0,2
,6884,68843,0,3,3,5,5,1,49.00,2,26,26,39,2018,4,2,0,1,1,,4,3,1,1,,1,,,,,,,,,,,2,16,3,2,16,54,9000.00,1,7,2018,1,1,2,1,,1,,,,24,2,,,97,2,1,,,,2,1,1,2,1,,0.25,19.48,0.31,0.25,0.26,0.25,0.23,0.24,0.25,0.26,0.24,0.25,0.23,0.24,0.27,0.24,0.26,,0.25,0.24,0.24,0.28,0.24,0.25,0.25,25.52,20.32,21.24,20.69,18.59,19.45,20.20,21.64,19.47,20.36,18.58,19.39,21.56,19.25,21.35,,19.97,19.55,19.61,23.04,19.18,19.72,19.53,1,,1,,,2,,1,,,1,,,3,1,1,,,2,,1,1,700.00,1,2,1,0.21,16.65,0.22,0.21,0.21,0.21,0.20,0.21,0.22,0.21,0.22,0.20,0.21,0.21,0.22,0.21,0.21,,0.21,0.21,0.22,0.21,0.21,0.21,0.21,18.40,17.52,17.29,17.57,16.96,17.64,18.04,17.32,17.92,16.69,17.14,17.57,17.58,17.56,17.61,,17.62,17.09,17.69,17.51,17.06,16.91,16.87,4,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,0,2
,6884,68844,0,3,4,5,6,4,18.00,2,26,26,39,2018,4,2,9,5,6,97,3,2,1,2,2,1,,,,,,,,,,,2,16,3,2,4,54,3000.00,1,11,2019,1,1,4,1,,2,2,8,1,24,2,,,97,7,2,1,2,2019,,1,1,4,1,,0.16,12.75,0.20,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.18,0.16,0.17,,0.17,0.16,0.15,0.18,0.16,0.16,0.17,16.70,12.75,14.02,13.04,12.89,13.00,13.30,12.96,12.90,13.21,12.58,13.32,14.44,12.84,13.76,,13.44,12.81,12.37,14.38,12.64,12.85,12.89,1,,1,,,2,,1,,,1,,,3,1,1,,,2,,1,1,700.00,1,2,1,0.21,16.65,0.22,0.21,0.21,0.21,0.20,0.21,0.22,0.21,0.22,0.20,0.21,0.21,0.22,0.21,0.21,,0.21,0.21,0.22,0.21,0.21,0.21,0.21,18.40,17.52,17.29,17.57,16.96,17.64,18.04,17.32,17.92,16.69,17.14,17.57,17.58,17.56,17.61,,17.62,17.09,17.69,17.51,17.06,16.91,16.87,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,999,2
,6884,68845,0,3,5,5,6,,7.00,2,26,26,39,2018,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,88.42,0.62,1.10,1.28,1.07,1.12,1.17,1.09,0.92,1.50,1.08,1.05,1.15,1.11,1.16,1.38,,1.16,0.95,1.44,1.12,1.10,1.07,1.15,51.51,88.95,104.51,87.60,91.83,95.17,88.45,75.44,123.10,88.49,85.26,93.49,89.74,95.06,112.07,,94.53,77.09,116.94,91.76,87.56,84.81,89.89,1,,1,,,2,,1,,,1,,,3,1,1,,,2,,1,1,700.00,1,2,1,0.21,16.65,0.22,0.21,0.21,0.21,0.20,0.21,0.22,0.21,0.22,0.20,0.21,0.21,0.22,0.21,0.21,,0.21,0.21,0.22,0.21,0.21,0.21,0.21,18.40,17.52,17.29,17.57,16.96,17.64,18.04,17.32,17.92,16.69,17.14,17.57,17.58,17.56,17.61,,17.62,17.09,17.69,17.51,17.06,16.91,16.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,6884,68841,1,3,1,5,1,4,26.00,2,26,26,39,2018,4,,11,5,4,97,4,3,1,2,1,1,,,,,,,,,,,2,16,3,2,29,54,15000.00,1,5,2018,1,97,98,1,,1,,,,24,2,,,97,7,1,,,,2,1,1,4,1,,0.16,12.75,0.20,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.18,0.16,0.17,,0.17,0.16,0.15,0.18,0.16,0.16,0.17,16.70,12.75,14.02,13.04,12.89,13.00,13.30,12.96,12.90,13.21,12.58,13.32,14.44,12.84,13.76,,13.44,12.81,12.37,14.38,12.64,12.85,12.89,1,,1,,,2,,1,,,1,,,3,1,1,,,2,,1,1,700.00,1,2,1,0.21,16.65,0.22,0.21,0.21,0.21,0.20,0.21,0.22,0.21,0.22,0.20,0.21,0.21,0.22,0.21,0.21,,0.21,0.21,0.22,0.21,0.21,0.21,0.21,18.40,17.52,17.29,17.57,16.96,17.64,18.04,17.32,17.92,16.69,17.14,17.57,17.58,17.56,17.61,,17.62,17.09,17.69,17.51,17.06,16.91,16.87,2,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,0,2
,6884,68842,0,3,2,5,5,1,50.00,1,26,26,39,2014,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,,1,,,3,1,1,,,2,,1,1,700.00,1,2,1,0.21,16.65,0.22,0.21,0.21,0.21,0.20,0.21,0.22,0.21,0.22,0.20,0.21,0.21,0.22,0.21,0.21,,0.21,0.21,0.22,0.21,0.21,0.21,0.21,18.40,17.52,17.29,17.57,16.96,17.64,18.04,17.32,17.92,16.69,17.14,17.57,17.58,17.56,17.61,,17.62,17.09,17.69,17.51,17.06,16.91,16.87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,6891,68911,1,3,1,5,1,4,29.00,2,26,26,39,2018,2,,16,6,4,97,4,3,2,2,2,2,2,2,20,36,12.60,,,11.00,,,,,,,48,31,999998.00,1,9,2018,2,6,1,1,,2,1,,,18,2,,,97,7,2,1,7,2019,,1,1,4,4,,0.14,11.03,0.14,0.16,0.14,0.14,0.13,0.15,0.14,0.13,0.13,0.14,0.13,,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,11.76,13.10,11.21,11.70,10.43,11.96,11.70,10.43,11.09,11.65,10.45,,11.56,12.30,11.32,11.52,11.26,11.27,10.57,11.86,11.40,10.84,10.87,2,12,1,,,2,,1,,,2,12,2,3,18,1,,,2,,2,1,1800.00,2,1,5,0.23,18.17,0.24,0.25,0.22,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.25,0.24,0.22,0.23,19.71,20.29,18.16,19.60,18.20,19.95,18.81,18.62,19.49,18.70,18.25,,19.09,20.18,18.85,19.61,18.35,18.42,18.47,20.36,19.05,18.00,17.99,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,1,1,2,1,,1
,6891,68914,0,3,4,5,6,4,26.00,2,26,26,39,2018,2,2,3,2,1,,4,4,1,2,2,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,2,1,,,18,2,,,15,7,2,1,7,2019,,2,2,2,1,,0.37,29.03,0.39,0.41,0.39,0.38,0.38,0.37,0.36,0.34,0.35,0.37,0.32,,0.39,0.38,0.39,0.37,0.36,0.36,0.36,0.40,0.37,0.36,0.37,31.78,33.28,31.51,31.02,31.46,30.52,29.49,28.13,28.91,30.65,25.62,,31.90,31.42,31.97,30.31,29.47,28.89,28.96,32.47,29.32,28.58,28.78,2,12,1,,,2,,1,,,2,12,2,3,18,1,,,2,,2,1,1800.00,2,1,5,0.23,18.17,0.24,0.25,0.22,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.25,0.24,0.22,0.23,19.71,20.29,18.16,19.60,18.20,19.95,18.81,18.62,19.49,18.70,18.25,,19.09,20.18,18.85,19.61,18.35,18.42,18.47,20.36,19.05,18.00,17.99,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,2,3,1,1,,3
,6891,68913,0,3,3,5,6,4,28.00,2,26,26,39,2018,2,2,12,5,4,97,4,4,1,1,,2,2,2,25,98,11.00,,,9998.00,999998,,,,,,49,98,999998.00,1,8,2018,2,5,1,1,,1,,,,18,2,,,15,2,2,1,7,2019,,1,1,1,4,,0.18,13.64,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,,0.15,0.18,0.18,0.18,0.17,0.17,0.16,0.18,0.17,0.17,0.17,14.70,15.77,13.58,14.37,14.69,14.51,14.24,12.95,13.78,14.24,13.10,,12.24,14.96,14.27,14.70,13.50,14.02,13.01,14.94,13.80,13.56,13.39,2,12,1,,,2,,1,,,2,12,2,3,18,1,,,2,,2,1,1800.00,2,1,5,0.23,18.17,0.24,0.25,0.22,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.25,0.24,0.22,0.23,19.71,20.29,18.16,19.60,18.20,19.95,18.81,18.62,19.49,18.70,18.25,,19.09,20.18,18.85,19.61,18.35,18.42,18.47,20.36,19.05,18.00,17.99,3,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,1,1,2,1,0,1
,6891,68912,0,3,2,5,5,4,52.00,1,26,26,39,,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,1,,,2,,1,,,2,12,2,3,18,1,,,2,,2,1,1800.00,2,1,5,0.23,18.17,0.24,0.25,0.22,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.25,0.24,0.22,0.23,19.71,20.29,18.16,19.60,18.20,19.95,18.81,18.62,19.49,18.70,18.25,,19.09,20.18,18.85,19.61,18.35,18.42,18.47,20.36,19.05,18.00,17.99,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,,,,,,
,6891,68915,0,3,5,5,6,4,22.00,2,26,26,39,2018,2,2,14,5,6,97,4,3,1,1,,2,1,,40,,11.00,,,,,,,,,,98,98,999998.00,1,10,2019,1,5,1,1,,1,,,,18,2,,,15,7,2,1,7,2019,,1,1,1,4,,0.18,13.63,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.16,,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.18,0.18,0.17,0.17,15.04,15.46,14.46,14.20,14.51,14.52,14.11,12.95,13.80,14.17,12.62,,14.96,14.92,14.59,14.04,13.82,14.12,12.75,14.61,14.11,13.40,13.51,2,12,1,,,2,,1,,,2,12,2,3,18,1,,,2,,2,1,1800.00,2,1,5,0.23,18.17,0.24,0.25,0.22,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.22,,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.25,0.24,0.22,0.23,19.71,20.29,18.16,19.60,18.20,19.95,18.81,18.62,19.49,18.70,18.25,,19.09,20.18,18.85,19.61,18.35,18.42,18.47,20.36,19.05,18.00,17.99,2,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,1,1,1,2,1,0,1
,6899,68993,0,1,3,5,4,4,15.00,1,10,10,97,2014,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,304.13,4.43,4.92,3.85,4.39,3.87,3.95,3.92,3.72,3.77,3.79,3.09,4.73,3.67,,3.71,3.96,4.14,3.86,3.59,4.00,3.81,3.67,3.78,365.30,399.05,313.84,359.58,316.57,321.39,318.51,304.82,310.54,310.66,250.94,386.37,297.16,,300.97,322.03,336.32,313.69,292.13,326.19,303.04,290.15,295.03,1,,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,4000.00,1,2,7,1.02,80.15,0.98,1.03,1.04,1.04,0.99,1.10,0.96,1.00,1.06,1.00,1.04,1.09,1.02,,0.98,1.03,1.02,1.02,0.97,1.06,1.03,0.99,1.00,81.64,85.21,85.65,85.79,82.17,90.33,79.79,82.61,87.68,83.15,84.80,90.39,83.30,,80.29,84.98,84.16,83.65,79.38,87.37,82.95,79.38,78.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,6899,68992,0,1,2,5,4,1,32.00,2,10,10,97,2014,3,2,6,2,1,,3,2,1,2,2,1,,,,,,,,,,,2,98,8,1,98,98,999998.00,1,1,2018,3,97,5,1,,2,1,,,25,2,,,3,2,2,9,,2016,,1,1,4,4,,1.45,112.84,1.30,1.61,1.44,1.37,1.53,1.43,1.41,1.33,1.46,1.40,1.33,1.66,1.53,,1.38,1.61,1.41,1.47,1.49,1.47,1.50,1.40,1.42,107.33,130.48,116.91,111.82,125.42,116.17,114.49,108.62,120.26,114.54,108.17,135.78,123.94,,111.75,130.69,114.19,119.80,121.48,120.11,119.43,110.37,110.82,1,,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,4000.00,1,2,7,1.02,80.15,0.98,1.03,1.04,1.04,0.99,1.10,0.96,1.00,1.06,1.00,1.04,1.09,1.02,,0.98,1.03,1.02,1.02,0.97,1.06,1.03,0.99,1.00,81.64,85.21,85.65,85.79,82.17,90.33,79.79,82.61,87.68,83.15,84.80,90.39,83.30,,80.29,84.98,84.16,83.65,79.38,87.37,82.95,79.38,78.61,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,,2
,6899,68995,0,1,5,5,4,,8.00,2,97,10,97,2014,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,291.87,4.11,4.46,3.74,3.86,3.79,3.72,3.84,3.48,3.60,3.53,2.95,4.71,3.55,,3.66,4.01,3.91,3.70,3.38,3.86,3.68,3.59,3.66,339.66,361.37,304.39,316.33,310.64,303.29,312.24,284.53,296.22,289.67,239.61,384.66,286.76,,296.82,326.12,317.18,300.83,275.15,315.23,292.52,283.44,286.12,1,,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,4000.00,1,2,7,1.02,80.15,0.98,1.03,1.04,1.04,0.99,1.10,0.96,1.00,1.06,1.00,1.04,1.09,1.02,,0.98,1.03,1.02,1.02,0.97,1.06,1.03,0.99,1.00,81.64,85.21,85.65,85.79,82.17,90.33,79.79,82.61,87.68,83.15,84.80,90.39,83.30,,80.29,84.98,84.16,83.65,79.38,87.37,82.95,79.38,78.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,6899,68994,0,1,4,5,4,,13.00,1,10,10,97,2014,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,304.13,4.43,4.92,3.85,4.39,3.87,3.95,3.92,3.72,3.77,3.79,3.09,4.73,3.67,,3.71,3.96,4.14,3.86,3.59,4.00,3.81,3.67,3.78,365.30,399.05,313.84,359.58,316.57,321.39,318.51,304.82,310.54,310.66,250.94,386.37,297.16,,300.97,322.03,336.32,313.69,292.13,326.19,303.04,290.15,295.03,1,,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,4000.00,1,2,7,1.02,80.15,0.98,1.03,1.04,1.04,0.99,1.10,0.96,1.00,1.06,1.00,1.04,1.09,1.02,,0.98,1.03,1.02,1.02,0.97,1.06,1.03,0.99,1.00,81.64,85.21,85.65,85.79,82.17,90.33,79.79,82.61,87.68,83.15,84.80,90.39,83.30,,80.29,84.98,84.16,83.65,79.38,87.37,82.95,79.38,78.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,6899,68991,1,1,1,5,1,1,40.00,1,10,10,97,2014,3,,6,1,5,97,4,1,1,1,,2,1,,58,,23.00,,,,,,,,,,48,40,999998.00,1,3,2014,3,1,1,1,,1,,,,25,2,,,3,2,2,9,,2016,,1,1,4,4,,1.67,129.84,1.50,1.86,1.65,1.54,1.81,1.63,1.63,1.53,1.67,1.62,1.52,1.92,1.84,,1.61,1.87,1.60,1.71,1.67,1.73,1.74,1.61,1.63,123.78,150.66,134.26,126.19,148.25,133.02,132.22,125.03,137.33,133.14,123.27,156.35,148.70,,130.97,152.40,129.91,139.05,136.01,140.99,138.32,127.41,127.03,1,,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,4000.00,1,2,7,1.02,80.15,0.98,1.03,1.04,1.04,0.99,1.10,0.96,1.00,1.06,1.00,1.04,1.09,1.02,,0.98,1.03,1.02,1.02,0.97,1.06,1.03,0.99,1.00,81.64,85.21,85.65,85.79,82.17,90.33,79.79,82.61,87.68,83.15,84.80,90.39,83.30,,80.29,84.98,84.16,83.65,79.38,87.37,82.95,79.38,78.61,3,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,0,1
